formula,Property Band gap values Clean,Property Reliability,Property Band gap method
Cd$_{3}$P$_{2}$,0.58,2,
SmTe,0.62,1,Absorption
ZnSb,0.59,2,Absorption
RuAs$_{2}$,0.8,1,Reflection
In$_{2}$Te$_{3}$,1,2,
GaP,2.895,2,Photoconduction
As$_{4}$S$_{4}$,2.4,1,Photoconduction
DyN,2.1,2,Absorption
TlCl,3.468,2,Absorption
GaSe,2.07,2,
Fe$_{2}$Te$_{3}$,0.6,1,Absorption
B,1.27,2,Thermal activation
CsF,10,1,Absorption
Rh$_{2}$S$_{3}$,0.8,1,Thermal activation
In$_{2}$Te$_{3}$,0.84,1,Reflection
CsCl,7.4,2,Estimated
TeI,1.1,1,Thermal activation
TiSe$_{2}$,1.55,2,Reflection
As$_{2}$Te$_{3}$,0.62,2,Absorption
NaBr,7.26,2,Reflection
PrSb,0.66,1,Absorption
BiI$_{3}$,2.029,2,Absorption
PbO,2.73,2,Reflection
FeTe$_{2}$,0.46,1,Thermal activation
CuP$_{2}$,1.51,2,Absorption
ZrS$_{2}$,2.75,1,Reflection
TlCl,3.46,2,Absorption
As,1.07,2,Reflection
PbI$_{2}$,2.535,2,
Na$_{2}$S,2.4,1,Estimated
YbS,0.33,1,Thermal activation
AlP,2.45,1,Absorption
CeO$_{2}$,2,2,
As$_{2}$S$_{3}$,3,2,
EuSe,3.1,2,Absorption
HfO$_{2}$,5.55,1,
NdB$_{6}$,3.4,2,Absorption
Fe$_{2}$O$_{3}$,1.06,2,Thermal activation
AgI,2.919,2,Absorption
In$_{4}$S$_{5}$,0.9,1,Photoconduction
InSb,0.17,1,Absorption
RuTe$_{2}$,0.25,2,Thermal activation
In$_{2}$Te$_{3}$,1.15,2,Thermal activation
PbTe,0.185,2,Photoconduction
NaI,6.75,2,Absorption
PtAs$_{2}$,0.5,2,Thermal activation
Er$_{3}$Te$_{4}$,0.9,1,Thermal activation
Mg$_{2}$Ge,0.54,2,
PbS,0.41,1,Reflection
NiP$_{2}$,0.5,1,Thermal activation
Ge,0.882,2,Absorption
SrTe,3.73,1,Absorption
Sb$_{2}$O$_{3}$,3.2,2,Reflection
B,1.55,2,Thermal activation
PbSe,0.165,2,Absorption
Te,0.335,2,Absorption
Pb$_{2}$O$_{3}$,1.67,1,Absorption
