Q,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21
4.59965771,30.06986375,29.8145625,30.19367,30.1777,30.13230429,30.07000429,29.74034714,30.72293625,30.65898125,32.44199625,32.44215,32.45108571,32.40028,32.48780875,32.410785,32.41524,32.392285,32.217465,32.2260475,32.23271125,32.5123725
4.600471245,30.068775,29.8147,30.19577,30.18074571,30.13892714,30.07472857,29.74323857,30.725345,30.660325,32.442225,32.439315,32.44588,32.40087,32.490565,32.41183,32.41646,32.3928,32.21741,32.22637,32.232885,32.51196
4.601072739,30.06768625,29.8148375,30.19787,30.18379143,30.14555,30.07945286,29.74613,30.72775375,30.66166875,32.44245375,32.43648,32.44258,32.40146,32.49332125,32.412875,32.41768,32.393315,32.217355,32.2266925,32.23305875,32.5115475
4.601191739,30.0665975,29.814975,30.19997,30.18683714,30.15059125,30.08417714,29.7489175,30.7301625,30.6630125,32.4426825,32.433645,32.43928,32.40205,32.4960775,32.41392,32.4189,32.39383,32.2173,32.227015,32.2332325,32.511135
4.60135834,30.06550875,29.8151125,30.20037,30.18988286,30.1556325,30.08890143,29.751705,30.73257125,30.66435625,32.44291125,32.43081,32.43598,32.40264,32.49883375,32.414965,32.42012,32.394345,32.217245,32.2273375,32.23340625,32.5107225
4.601583358,30.06442,29.81525,30.20077,30.19292857,30.16067375,30.09362571,29.7544925,30.73498,30.6657,32.44314,32.429532,32.43268,32.40323,32.50159,32.41601,32.42134,32.39486,32.21719,32.22766,32.23358,32.51031
4.602104792,30.06276571,29.81389571,30.20117,30.19597429,30.165715,30.09835,29.75728,30.73791571,30.66786143,32.44474857,32.428254,32.42938,32.40383714,32.50395,32.41721143,32.42273,32.39550429,32.21725857,32.22805429,32.23390714,32.51008
4.603177946,30.06111143,29.81254143,30.20157,30.19902,30.17075625,30.10314857,29.7600675,30.74085143,30.67002286,32.44635714,32.426976,32.42608,32.40444429,32.50631,32.41841286,32.42412,32.39614857,32.21732714,32.22844857,32.23423429,32.50985
4.603978478,30.05945714,29.81118714,30.20197,30.19978857,30.1757975,30.10794714,29.762855,30.74378714,30.67218429,32.44796571,32.425698,32.42278,32.40505143,32.50867,32.41961429,32.42551,32.39679286,32.21739571,32.22884286,32.23456143,32.50962
4.604246763,30.05780286,29.80983286,30.20237,30.20055714,30.18083875,30.11274571,29.7656425,30.74672286,30.67434571,32.44957429,32.42442,32.42124125,32.40565857,32.51103,32.42081571,32.4269,32.39743714,32.21746429,32.22923714,32.23488857,32.50939
4.604595101,30.05614857,29.80847857,30.20277,30.20132571,30.18588,30.11754429,29.76843,30.74965857,30.67650714,32.45118286,32.42454333,32.4197025,32.40626571,32.51339,32.42201714,32.42829,32.39808143,32.21753286,32.22963143,32.23521571,32.50916
4.604696789,30.05449429,29.80712429,30.20317,30.20209429,30.18945571,30.12234286,29.77181286,30.75259429,30.67866857,32.45279143,32.42466667,32.41816375,32.40687286,32.51575,32.42321857,32.42968,32.39872571,32.21760143,32.23002571,32.23554286,32.50893
4.605047289,30.05284,29.80577,30.20189429,30.20286286,30.19303143,30.12714143,29.77519571,30.75553,30.68083,32.4544,32.42479,32.416625,32.40748,32.51811,32.42442,32.43107,32.39937,32.21767,32.23042,32.23587,32.5087
4.605635781,30.05107714,29.80326143,30.20061857,30.20363143,30.19660714,30.13194,29.77857857,30.75856286,30.68321857,32.45696571,32.42491333,32.41508625,32.40802571,32.51922286,32.42554857,32.43237,32.40002857,32.21784429,32.23094143,32.23618714,32.50866571
4.606700252,30.04931429,29.80075286,30.19934286,30.2044,30.20018286,30.13624571,29.78196143,30.76159571,30.68560714,32.45953143,32.42503667,32.4135475,32.40857143,32.52033571,32.42667714,32.43367,32.40068714,32.21801857,32.23146286,32.23650429,32.50863143
4.607137289,30.04755143,29.79824429,30.19806714,30.20290625,30.20375857,30.14055143,29.78534429,30.76462857,30.68799571,32.46209714,32.42516,32.41200875,32.40911714,32.52144857,32.42780571,32.43497,32.40134571,32.21819286,32.23198429,32.23682143,32.50859714
4.607487782,30.04578857,29.79573571,30.19679143,30.2014125,30.20733429,30.14485714,29.78872714,30.76766143,30.69038429,32.46466286,32.42607667,32.41047,32.40966286,32.52256143,32.42893429,32.43627,32.40200429,32.21836714,32.23250571,32.23713857,32.50856286
4.60811737,30.04402571,29.79322714,30.19551571,30.19991875,30.21091,30.14916286,29.79211,30.77069429,30.69277286,32.46722857,32.42699333,32.40987857,32.41020857,32.52367429,32.43006286,32.43757,32.40266286,32.21854143,32.23302714,32.23745571,32.50852857
4.608203911,30.04226286,29.79071857,30.19424,30.198425,30.21124571,30.15346857,29.79539286,30.77372714,30.69516143,32.46979429,32.42791,32.40928714,32.41075429,32.52478714,32.43119143,32.43887,32.40332143,32.21871571,32.23354857,32.23777286,32.50849429
4.608508968,30.0405,29.78821,30.19150714,30.19693125,30.21158143,30.15777429,29.79867571,30.77676,30.69755,32.47236,32.42882667,32.40869571,32.4113,32.5259,32.43232,32.44017,32.40398,32.21889,32.23407,32.23809,32.50846
4.609164513,30.03884714,29.78509714,30.18877429,30.1954375,30.21191714,30.16208,29.80195857,30.77977714,30.70043571,32.47569286,32.42974333,32.40810429,32.41180857,32.52555429,32.43329714,32.44128714,32.40461286,32.21914857,32.23471,32.23852143,32.50858429
4.610025587,30.03719429,29.78198429,30.18604143,30.19394375,30.21225286,30.16517571,29.80524143,30.78279429,30.70332143,32.47902571,32.43066,32.40751286,32.41231714,32.52520857,32.43427429,32.44240429,32.40524571,32.21940714,32.23535,32.23895286,32.50870857
4.610220302,30.03554143,29.77887143,30.18330857,30.19245,30.21258857,30.16827143,29.80852429,30.78581143,30.70620714,32.48235857,32.43193571,32.40692143,32.41282571,32.52486286,32.43525143,32.44352143,32.40587857,32.21966571,32.23599,32.23938429,32.50883286
4.610996994,30.03388857,29.77575857,30.18057571,30.18866143,30.21292429,30.17136714,29.81180714,30.78882857,30.70909286,32.48569143,32.43321143,32.40633,32.41333429,32.52451714,32.43622857,32.44463857,32.40651143,32.21992429,32.23663,32.23981571,32.50895714
4.611637382,30.03223571,29.77264571,30.17784286,30.18487286,30.21326,30.17446286,29.81509,30.79184571,30.71197857,32.48902429,32.43448714,32.40654714,32.41384286,32.52417143,32.43720571,32.44575571,32.40714429,32.22018286,32.23727,32.24024714,32.50908143
4.611708777,30.03058286,29.76953286,30.17511,30.18108429,30.21024571,30.17755857,29.81789571,30.79486286,30.71486429,32.49235714,32.43576286,32.40676429,32.41435143,32.52382571,32.43818286,32.44687286,32.40777714,32.22044143,32.23791,32.24067857,32.50920571
4.61197272,30.02893,29.76642,30.17133571,30.17729571,30.20723143,30.18065429,29.82070143,30.79788,30.71775,32.49569,32.43703857,32.40698143,32.41486,32.52348,32.43916,32.44799,32.40841,32.2207,32.23855,32.24111,32.50933
4.612697479,30.02753429,29.76320571,30.16756143,30.17350714,30.20421714,30.18375,29.82350714,30.80072571,30.72116,32.49973143,32.43831429,32.40719857,32.41537286,32.52212857,32.43993571,32.44883143,32.40896714,32.22102286,32.23928857,32.24165,32.50958429
4.612913824,30.02613857,29.75999143,30.16378714,30.16971857,30.20120286,30.18482,29.82631286,30.80357143,30.72457,32.50377286,32.43959,32.40741571,32.41588571,32.52077714,32.44071143,32.44967286,32.40952429,32.22134571,32.24002714,32.24219,32.50983857
4.613740259,30.02474286,29.75677714,30.16001286,30.16593,30.19818857,30.18589,29.82911857,30.80641714,30.72798,32.50781429,32.44154833,32.40763286,32.41639857,32.51942571,32.44148714,32.45051429,32.41008143,32.22166857,32.24076571,32.24273,32.51009286
4.61450395,30.02334714,29.75356286,30.15623857,30.16084,30.19517429,30.18696,29.83192429,30.80926286,30.73139,32.51185571,32.44350667,32.40785,32.41691143,32.51807429,32.44226286,32.45135571,32.41063857,32.22199143,32.24150429,32.24327,32.51034714
4.615159465,30.02195143,29.75034857,30.15246429,30.15575,30.19216,30.18803,29.83473,30.81210857,30.7348,32.51589714,32.445465,32.40849429,32.41742429,32.51672286,32.44303857,32.45219714,32.41119571,32.22231429,32.24224286,32.24381,32.51060143
4.615213551,30.02055571,29.74713429,30.14869,30.15066,30.18671143,30.1891,29.83662286,30.81495429,30.73821,32.51993857,32.44742333,32.40913857,32.41793714,32.51537143,32.44381429,32.45303857,32.41175286,32.22263714,32.24298143,32.24435,32.51085571
4.615434219,30.01916,29.74392,30.1449725,30.14557,30.18126286,30.19017,29.83851571,30.8178,30.74162,32.52398,32.44938167,32.40978286,32.41845,32.51402,32.44459,32.45388,32.41231,32.22296,32.24372,32.24489,32.51111
4.615801997,30.018275,29.74131125,30.141255,30.14048,30.17581429,30.19124,29.84040857,30.81997875,30.74505125,32.52813125,32.45134,32.41042714,32.4189425,32.51249375,32.445095,32.45431875,32.41269,32.223285,32.24443375,32.24544625,32.511425
4.616226024,30.01739,29.7387025,30.1375375,30.13539,30.17036571,30.19231,29.84230143,30.8221575,30.7484825,32.5322825,32.454224,32.41107143,32.419435,32.5109675,32.4456,32.4547575,32.41307,32.22361,32.2451475,32.2460025,32.51174
4.617262286,30.016505,29.73609375,30.13382,30.1303,30.16491714,30.19135571,29.84419429,30.82433625,30.75191375,32.53643375,32.457108,32.41171571,32.4199275,32.50944125,32.446105,32.45519625,32.41345,32.223935,32.24586125,32.24655875,32.512055
