x,y_obs,weight,y_calc,y_bkg,Q,phase 1,phase 2
23.31,1174,0.00085,1143.988,1143.29,1.419,,
23.327,1188,0.00084,1143.949,1143.27,1.42,,
23.344,1210,0.00083,1143.911,1143.251,1.421,,
23.361,1191,0.00084,1143.873,1143.231,1.422,,
23.378,1175,0.00085,1143.837,1143.211,1.423,,
23.395,1163,0.00086,1143.801,1143.192,1.424,,
23.412,1153,0.00087,1143.765,1143.172,1.425,,
23.429,1225,0.00082,1143.731,1143.152,1.426,,
23.446,1175,0.00085,1143.697,1143.133,1.427,,
23.463,1155,0.00087,1143.663,1143.113,1.428,,
23.48,1159,0.00086,1143.63,1143.093,1.429,,
23.497,1165,0.00086,1143.598,1143.074,1.43,,
23.514,1154,0.00087,1143.565,1143.054,1.431,,
23.531,1142,0.00088,1143.534,1143.035,1.432,,
23.548,1140,0.00088,1143.503,1143.015,1.433,,
23.565,1156,0.00087,1143.472,1142.996,1.434,,
23.582,1163,0.00086,1143.442,1142.976,1.435,,
23.599,1121,0.00089,1143.412,1142.957,1.436,,
23.616,1148,0.00087,1143.382,1142.937,1.437,,
23.633,1146,0.00087,1143.353,1142.918,1.438,,
23.65,1122,0.00089,1143.324,1142.898,1.439,,
23.667,1159,0.00086,1143.295,1142.879,1.441,,
23.684,1162,0.00086,1143.267,1142.859,1.442,,
23.701,1163,0.00086,1143.239,1142.84,1.443,,
23.718,1160,0.00086,1143.211,1142.82,1.444,,
23.735,1156,0.00087,1143.184,1142.801,1.445,,
23.752,1171,0.00085,1143.156,1142.782,1.446,,
23.769,1134,0.00088,1143.129,1142.762,1.447,,
23.786,1203,0.00083,1143.103,1142.743,1.448,,
23.803,1140,0.00088,1143.076,1142.724,1.449,,
23.82,1116,0.0009,1143.05,1142.704,1.45,,
23.837,1124,0.00089,1143.024,1142.685,1.451,,
23.854,1174,0.00085,1142.998,1142.666,1.452,,
23.871,1152,0.00087,1142.972,1142.646,1.453,,
23.888,1169,0.00086,1142.947,1142.627,1.454,,
23.905,1191,0.00084,1142.922,1142.608,1.455,,
23.922,1123,0.00089,1142.896,1142.588,1.456,,
23.939,1152,0.00087,1142.872,1142.569,1.457,,
23.956,1166,0.00086,1142.847,1142.55,1.458,,
23.973,1163,0.00086,1142.822,1142.531,1.459,,
23.99,1192,0.00084,1142.798,1142.511,1.46,,
24.007,1227,0.00081,1142.773,1142.492,1.461,,
24.024,1168,0.00086,1142.749,1142.473,1.462,,
24.041,1144,0.00087,1142.725,1142.454,1.463,,
24.058,1163,0.00086,1142.701,1142.434,1.464,,
24.075,1182,0.00085,1142.677,1142.415,1.465,,
24.092,1136,0.00088,1142.654,1142.396,1.466,,
24.109,1203,0.00083,1142.63,1142.377,1.467,,
24.126,1160,0.00086,1142.607,1142.358,1.468,,
24.143,1125,0.00089,1142.584,1142.338,1.469,,
24.16,1189,0.00084,1142.56,1142.319,1.47,,
24.177,1185,0.00084,1142.537,1142.3,1.471,,
