X 90 Kohm,Y 90 Kohm,,X 90 Kohm-clear,Y 90 Kohm-clear,,X 60 Kohm,Y 60 Kohm,,X 60 Kohm-clear,Y 60 Kohm-clear,,X 30 Kohm,Y 30 Kohm,,X 30 Kohm-clear,Y 30 Kohm-clear
441.3361364,108.6743171,,441.0413869,109.7887075,,471.0334416,105.4460928,,442.1647433,109.7052968,,443.4425209,107.8513796,,451.7672233,110.228738
442.0314716,108.6454678,,441.7369982,109.7625935,,471.961537,105.3663284,,442.8596464,109.6846407,,444.1376548,107.9520869,,452.5756224,110.1151406
442.7268069,108.5108377,,442.3162366,109.7167658,,474.2808786,105.2333878,,443.5531144,109.5819416,,444.9488034,108.0527494,,453.4996431,109.9939701
443.4221421,108.4819884,,442.8941621,109.5987405,,475.4414462,105.1004472,,444.2465824,109.4792425,,446.1089512,108.0523018,,454.1938494,109.9788237
444.1174774,108.4339062,,443.4720876,109.4807151,,477.0648059,105.0206828,,444.8239941,109.3663122,,446.8043238,108.1277652,,455.1183465,109.8879458
444.8128126,108.3665911,,444.0500131,109.3626898,,477.7607878,104.9675066,,445.4015254,109.2602189,,447.6157111,108.2031837,,456.2750394,109.8425069
445.5081479,108.3281253,,444.7450276,109.3037586,,478.4574871,104.8611541,,446.0954718,109.1848675,,448.3117998,108.2029152,,456.8524928,109.7629887
446.2034831,108.3088924,,445.4406389,109.2776445,,479.849092,104.7813897,,446.7894181,109.1095161,,449.0069336,108.3036224,,457.3138483,109.660751
446.8988184,108.2608103,,446.1358921,109.2318402,,480.7775461,104.6750373,,447.482647,108.9931431,,449.7025449,108.3538418,,458.1222473,109.5471536
447.5941536,108.1934952,,446.830071,109.1269649,,481.9366788,104.6484491,,448.1767129,108.9246286,,450.3986336,108.3535733,,458.5848531,109.5244342
448.2894889,108.145413,,447.5244887,109.0352166,,482.8647742,104.5686848,,448.8707789,108.8561141,,451.0947223,108.3533047,,459.7411888,109.4562757
448.9848241,108.1165637,,448.2190258,108.9500317,,483.7932283,104.4623323,,449.5643665,108.760252,,451.5587814,108.3531257,,460.4338471,109.3426783
449.6801594,108.1357965,,448.9130854,108.838593,,485.0700321,104.3028036,,450.2589108,108.7190851,,452.4861836,108.4284995,,461.1271008,109.2669467
450.3754946,108.0300157,,449.6078612,108.7665349,,486.3468359,104.1432749,,450.9530963,108.6574076,,453.0662575,108.4282757,,461.7043161,109.1722822
451.0708299,107.9723171,,450.3019208,108.6550963,,486.8107042,104.1166867,,451.6465644,108.5547085,,453.8774061,108.5289382,,462.1656716,109.0700446
451.7661651,107.9338513,,450.9959805,108.5436577,,487.9705543,104.0369224,,452.3400324,108.4520094,,454.5730174,108.5791576,,463.6688723,108.9791667
452.4615003,107.9146184,,451.6908756,108.478163,,488.8986497,103.957158,,453.0333808,108.3424733,,455.2691061,108.578889,,464.2457899,108.8655693
