formula,Property Bulk modulus,Property Bulk modulus units
Ni$_{3}$Pt,206,GPa
CaSbAu,60,GPa
V$_{3}$Ge,184,GPa
Al$_{21}$Pd$_{8}$,109,GPa
CN$_{2}$,155,GPa
ZrOs,209,GPa
Sr$_{3}$CrN$_{3}$,44,GPa
SrSi$_{2}$,55,GPa
BeNi,182,GPa
HfOs,229,GPa
Li$_{12}$Si$_{7}$,36,GPa
KCu$_{4}$Se$_{3}$,40,GPa
CrRh$_{3}$,230,GPa
ZnNi,146,GPa
Cr$_{3}$Fe,253,GPa
Zr$_{2}$Al$_{3}$,108,GPa
SiS$_{2}$,11,GPa
As$_{2}$O$_{3}$,12,GPa
CaCd$_{2}$,40,GPa
TaRh$_{3}$,260,GPa
CuNiSb$_{2}$,92,GPa
ThS$_{2}$,91,GPa
Hf$_{2}$S,133,GPa
Ge,65,GPa
SrHfO$_{3}$,157,GPa
Al$_{6}$Tc,107,GPa
Hf$_{3}$(Cu$_{2}$Ge)$_{2}$,143,GPa
Mg$_{3}$Au,57,GPa
HfPt$_{3}$,233,GPa
AuN,172,GPa
ZnS,70,GPa
Ni$_{3}$Sn,163,GPa
Zn$_{2}$CuAu,112,GPa
CeSe$_{2}$,69,GPa
ScS,101,GPa
RbCeSe$_{2}$,31,GPa
Y,41,GPa
BeC$_{2}$,120,GPa
ZrB$_{2}$,238,GPa
BaCuP,57,GPa
InBi,31,GPa
Zr$_{2}$CuSb$_{3}$,91,GPa
Si$_{3}$Pt$_{2}$,162,GPa
Y(TiGa$_{2}$)$_{2}$,96,GPa
TaMn$_{2}$,243,GPa
Sb$_{7}$Mo$_{3}$,108,GPa
LiAu$_{3}$,99,GPa
YAl$_{3}$,76,GPa
Nb$_{3}$B$_{4}$,274,GPa
SiMo$_{3}$,252,GPa
LiC$_{6}$,242,GPa
SiNi$_{2}$,198,GPa
NbAu$_{2}$,175,GPa
YMgCu,60,GPa
Sc$_{6}$Te$_{2}$Os,72,GPa
NbSiRh,222,GPa
Mg$_{13}$Ir$_{3}$,60,GPa
NiMoP$_{2}$,190,GPa
BaSi$_{2}$,32,GPa
CoS,160,GPa
AlAu,110,GPa
BaBrCl,29,GPa
ScGa,76,GPa
CaZn$_{2}$,48,GPa
LiCd,35,GPa
V$_{3}$S$_{4}$,99,GPa
CeO$_{2}$,177,GPa
Sc$_{2}$Pt,93,GPa
AlAgSe$_{2}$,52,GPa
Hg$_{2}$Rh,88,GPa
BN,287,GPa
ZrTe,96,GPa
MgSnP$_{2}$,57,GPa
Ca(ZnGe)$_{2}$,59,GPa
YMgCu$_{4}$,92,GPa
SrMgSi,44,GPa
SiIr,227,GPa
KAgSe,27,GPa
MgPd$_{3}$,130,GPa
HfAlPd$_{2}$,163,GPa
HfSi,153,GPa
YNiSb,94,GPa
Ti$_{3}$ZnN,147,GPa
Ca(Al$_{2}$Cu)$_{4}$,93,GPa
HfBeSi,148,GPa
VIr$_{3}$,320,GPa
TiO,196,GPa
TaTc,255,GPa
CuF$_{2}$,82,GPa
BaGa$_{2}$,36,GPa
IrO$_{2}$,192,GPa
Sc$_{2}$Si$_{2}$Ru,122,GPa
ScHg,76,GPa
AlCuPt$_{2}$,196,GPa
ZrCd$_{3}$,77,GPa
CdSnSb$_{2}$,36,GPa
NbRu$_{3}$,271,GPa
Mn$_{3}$PdN,158,GPa
KLaS$_{2}$,38,GPa
Ti$_{3}$AlN,163,GPa
LiAl$_{2}$Ir,135,GPa
Li$_{7}$NbN$_{4}$,82,GPa
Sn$_{4}$Au,51,GPa
ScAuO$_{2}$,141,GPa
LiBe,46,GPa
SrSnO$_{3}$,140,GPa
Mg(P$_{2}$Rh$_{3}$)$_{2}$,205,GPa
YMgPd,70,GPa
Li$_{3}$B$_{7}$O$_{12}$,69,GPa
AlAu$_{4}$,127,GPa
K$_{2}$GeF$_{6}$,23,GPa
Sb$_{2}$O$_{5}$,128,GPa
V$_{2}$C,219,GPa
NbN,305,GPa
TiAs,118,GPa
Al$_{2}$Cu,90,GPa
HfGeTe,95,GPa
Zn$_{13}$Rh,88,GPa
Zr,94,GPa
HfGe$_{2}$,113,GPa
LiTiTe$_{2}$,38,GPa
VTe$_{2}$,32,GPa
Sb$_{2}$Pt$_{3}$,136,GPa
RbYTe$_{2}$,27,GPa
CaS,57,GPa
TaO$_{3}$,188,GPa
Rb$_{2}$HfF$_{6}$,22,GPa
Mn$_{5}$Si$_{3}$,149,GPa
B$_{12}$W,239,GPa
Al$_{3}$Ni$_{5}$,167,GPa
Ni$_{2}$Ge,178,GPa
LiInGe,43,GPa
ZrIr$_{3}$,267,GPa
WSe$_{2}$,32,GPa
Cr$_{3}$Ru,264,GPa
MgTl,35,GPa
LiC,44,GPa
Co$_{2}$Ge,201,GPa
ScAlPd$_{2}$,131,GPa
ScCo$_{3}$C,214,GPa
YCd$_{2}$,57,GPa
HfW$_{2}$,223,GPa
SrPdF$_{4}$,64,GPa
MnPt$_{3}$,217,GPa
Hf$_{2}$Pd,138,GPa
CoGe,157,GPa
Y$_{2}$C,63,GPa
Ti$_{2}$Be$_{17}$,127,GPa
SiPt$_{2}$,206,GPa
TaB$_{2}$,303,GPa
Ba,9,GPa
GaPt$_{3}$,217,GPa
ScCd,67,GPa
Cs$_{2}$Se,12,GPa
CdO,126,GPa
TiFeSb,114,GPa
PuN,154,GPa
NiAgSe$_{2}$,73,GPa
LiSn$_{4}$Rh,64,GPa
Hf$_{2}$Al,113,GPa
YAlNi,93,GPa
Sr,11,GPa
ScTlS$_{2}$,50,GPa
BePd$_{3}$,162,GPa
