x	y_obs
81.79	39232
81.89	39436
81.99	39524
82.09	38789
82.19	39005
82.29	39399
82.39	38656
82.49	38998
82.59	39020
82.69	38934
82.79	38499
82.89	38656
82.99	39015
83.09	39047
83.19	38573
83.29	38762
83.39	38830
83.49	39008
83.59	38467
83.69	38792
83.79	38238
83.89	38959
83.99	39017
84.09	39249
84.19	39236
84.29	38612
84.39	39131
84.49	39469
84.59	40037
84.69	40499
84.79	40846
84.89	41011
84.99	41577
85.09	42486
85.19	42502
85.29	43097
85.39	43362
85.49	43945
85.59	44288
85.69	44336
85.79	43828
85.89	43629
85.99	43614
86.09	42629
86.19	42287
86.29	41702
86.39	41164
86.49	40269
86.59	39577
86.69	39666
86.79	39193
86.89	39002
86.99	38609
87.09	38860
87.19	38384
87.29	38332
87.39	38655
87.49	38117
87.59	37999
87.69	38054
87.79	38125
87.89	38193
87.99	38428
88.09	38645
88.19	38418
88.29	38455
88.39	38503
88.49	39055
88.59	39032
88.69	38853
88.79	38566
88.89	38725
88.99	38613
89.09	38239
89.19	38462
89.29	37833
89.39	38021
89.49	37803
89.59	37550
89.69	37918
89.79	37913
89.89	37703
89.99	38200
90.09	37771
90.19	38002
90.29	37847
90.39	37912
90.49	37982
90.59	37782
90.69	38053
90.79	38048
90.89	37896
90.99	37946
91.09	37937
91.19	37569
91.29	37864
91.39	37920
91.49	37644
91.59	37569
91.69	37451
91.79	37296
91.89	37499
91.99	37547
92.09	37741
92.19	37500
92.29	37508
92.39	37497
92.49	37730
92.59	37476
92.69	37743
92.79	37177
92.89	37559
92.99	37359
93.09	37652
93.19	37675
93.29	37653
93.39	37355
93.49	37274
93.59	37540
93.69	37268
93.79	37524
93.89	37333
93.99	37499
94.09	37909
94.19	37677
94.29	37554
94.39	37188
94.49	37255
94.59	37520
94.69	37610
94.79	37431
94.89	37438
94.99	37233
95.09	37705
95.19	37550
95.29	37276
95.39	37106
95.49	37399
95.59	37323
95.69	37662
95.79	37180
95.89	38080
95.99	37835
96.09	37800
96.19	37744
96.29	38180
96.39	37636
96.49	37871
96.59	37759
96.69	37723
96.79	37213
96.89	37480
96.99	37275
97.09	37608
97.19	37374
97.29	37343
97.39	37086
97.49	37925
97.59	37044
97.69	37239
97.79	37428
97.89	37554
97.99	37348
98.09	37368
98.19	37192
98.29	37272
98.39	37127
98.49	37322
98.59	37494
98.69	37516
98.79	37679
98.89	37725
98.99	37768
99.09	37478
99.19	38240
99.29	38334
99.39	38743
99.49	38522
99.59	38504
99.69	38738
99.79	39036
99.89	38956
99.99	38816
100.09	38559
100.19	38547
100.29	38293
100.39	38288
100.49	37778
100.59	37407
100.69	37723
100.79	37190
100.89	37668
100.99	37504
101.09	37393
101.19	37433
101.29	37250
101.39	37220
101.49	36889
101.59	37290
101.69	37355
101.79	37753
101.89	37609
101.99	37504
102.09	37214
102.19	37301
102.29	37140
102.39	37162
102.49	37434
102.59	37192
102.69	37176
102.79	37282
102.89	37226
102.99	37067
103.09	37232
103.19	36823
103.29	37480
103.39	36912
103.49	37227
103.59	37435
103.69	37075
103.79	37090
103.89	36974
103.99	37119
104.09	37265
104.19	37024
104.29	37431
104.39	37737
104.49	37111
104.59	37281
104.69	37624
104.79	37792
104.89	37569
104.99	37855
105.09	37443
105.19	37641
105.29	37952
105.39	38032
105.49	37974
105.59	37893
105.69	38293
105.79	38654
105.89	38601
105.99	38920
106.09	38930
106.19	39317
106.29	39906
106.39	40096
106.49	40996
106.59	41909
106.69	42817
106.79	43843
106.89	44704
106.99	46176
107.09	47742
107.19	48929
107.29	50288
