x	y_obs	y_bkg
22.171	1737	1147.592
22.188	1561	1147.569
22.205	1392	1147.545
22.222	1336	1147.522
22.239	1296	1147.499
22.256	1243	1147.476
22.273	1227	1147.453
22.29	1236	1147.43
22.307	1219	1147.407
22.324	1223	1147.385
22.341	1219	1147.362
22.358	1185	1147.339
22.375	1181	1147.317
22.392	1194	1147.294
22.409	1214	1147.272
22.426	1226	1147.249
22.443	1195	1147.227
22.46	1166	1147.205
22.477	1191	1147.182
22.494	1150	1147.16
22.511	1111	1147.138
22.528	1117	1147.116
22.545	1158	1147.094
22.562	1201	1147.072
22.579	1199	1147.05
22.596	1250	1147.028
22.613	1211	1147.007
22.63	1195	1146.985
22.647	1200	1146.963
22.664	1227	1146.941
22.681	1191	1146.92
22.698	1159	1146.898
22.715	1143	1146.876
22.732	1095	1146.855
22.749	1175	1146.833
22.766	1138	1146.812
22.783	1160	1146.79
22.8	1152	1146.769
22.817	1218	1146.748
22.834	1147	1146.726
22.851	1152	1146.705
22.868	1109	1146.684
22.885	1160	1146.663
22.902	1175	1146.641
22.919	1147	1146.62
22.936	1185	1146.599
22.953	1173	1146.578
22.97	1207	1146.557
22.987	1187	1146.536
23.004	1123	1146.515
23.021	1158	1146.494
23.038	1194	1146.473
23.055	1173	1146.452
23.072	1195	1146.431
23.089	1182	1146.41
23.106	1144	1146.389
23.123	1194	1146.368
23.14	1136	1146.347
23.157	1106	1146.326
23.174	1216	1146.305
23.191	1181	1146.285
23.208	1160	1146.264
23.225	1177	1146.243
23.242	1205	1146.222
23.259	1186	1146.202
23.276	1238	1146.181
23.293	1195	1146.16
23.31	1174	1146.14
23.327	1188	1146.119
23.344	1210	1146.098
23.361	1191	1146.078
23.378	1175	1146.057
23.395	1163	1146.037
23.412	1153	1146.016
23.429	1225	1145.995
23.446	1175	1145.975
23.463	1155	1145.954
23.48	1159	1145.934
23.497	1165	1145.913
23.514	1154	1145.893
23.531	1142	1145.872
23.548	1140	1145.852
23.565	1156	1145.831
23.582	1163	1145.811
23.599	1121	1145.791
