x	y_obs
26.71	1190
26.727	1164
26.744	1178
26.761	1140
26.778	1119
26.795	1132
26.812	1102
26.829	1154
26.846	1106
26.863	1224
26.88	1097
26.897	1230
26.914	1244
26.931	1168
26.948	1153
26.965	1153
26.982	1149
26.999	1174
27.016	1167
27.033	1106
27.05	1127
27.067	1181
27.084	1183
27.101	1130
27.118	1127
27.135	1144
27.152	1158
27.169	1129
27.186	1150
27.203	1146
27.22	1130
27.237	1125
27.254	1134
27.271	1148
27.288	1185
27.305	1182
27.322	1147
27.339	1159
27.356	1131
27.373	1148
27.39	1126
27.407	1120
27.424	1173
27.441	1191
27.458	1175
27.475	1178
27.492	1161
27.509	1186
27.526	1195
27.543	1176
27.56	1167
27.577	1133
27.594	1142
27.611	1206
27.628	1101
27.645	1148
27.662	1126
27.679	1094
27.696	1141
27.713	1185
27.73	1094
27.747	1113
27.764	1141
27.781	1173
27.798	1146
27.815	1190
27.832	1134
27.849	1147
27.866	1079
27.883	1132
27.9	1129
27.917	1109
27.934	1131
27.951	1123
27.968	1200
27.985	1137
28.002	1112
28.019	1157
28.036	1170
28.053	1099
28.07	1134
28.087	1135
28.104	1146
28.121	1172
28.138	1140
28.155	1099
28.172	1103
28.189	1122
28.206	1140
28.223	1100
28.24	1117
28.257	1139
28.274	1106
28.291	1142
28.308	1143
28.325	1150
28.342	1146
28.359	1124
28.376	1143
28.393	1118
28.41	1147
28.427	1184
28.444	1143
28.461	1128
28.478	1124
28.495	1099
28.512	1119
28.529	1180
28.546	1147
28.563	1159
28.58	1156
28.597	1094
28.614	1141
28.631	1095
28.648	1138
28.665	1090
28.682	1109
28.699	1086
28.716	1098
28.733	1124
28.75	1123
28.767	1126
28.784	1188
28.801	1099
28.818	1154
28.835	1146
28.852	1104
28.869	1135
28.886	1155
28.903	1158
28.92	1197
28.937	1138
28.954	1136
28.971	1136
28.988	1172
29.005	1152
29.022	1147
29.039	1179
29.056	1143
29.073	1188
29.09	1155
29.107	1123
