2theta,K,K 350,K 550,MG,MG+GLY
15.36,10,11,9,7,6
15.4,12,12,11,10,9
15.44,18,12,12,8,15
15.48,9,10,15,6,9
15.52,11,14,5,12,7
15.56,12,13,11,12,14
15.6,7,7,4,4,17
15.64,9,8,14,6,9
15.68,7,15,9,11,12
15.72,9,8,8,9,8
15.76,9,10,8,4,8
15.8,12,10,12,12,18
15.84,5,16,11,14,16
15.88,8,7,11,11,12
15.92,5,20,4,12,9
15.96,9,11,10,10,18
16,11,13,7,5,16
16.04,11,9,15,8,14
16.08,8,13,11,5,7
16.12,11,6,9,9,16
16.16,11,8,11,9,14
16.2,10,5,12,10,11
16.24,10,11,6,6,9
16.28,8,14,8,11,15
16.32,6,12,10,7,11
16.36,11,10,8,9,11
16.4,16,8,13,7,15
16.44,10,12,11,12,21
16.48,10,16,17,11,5
16.52,5,10,10,8,12
16.56,7,18,6,10,14
16.6,5,13,11,11,10
16.64,10,10,18,7,18
16.68,8,16,14,8,15
16.72,9,8,8,6,10
16.76,13,10,9,8,12
16.8,14,11,15,10,8
16.84,11,13,14,9,11
16.88,15,19,7,6,16
16.92,11,9,10,7,15
16.96,11,9,12,6,17
17,8,15,11,8,7
17.04,10,11,13,9,12
17.08,11,14,12,18,12
17.12,11,8,10,13,21
17.16,9,13,8,7,19
17.2,11,21,13,9,14
17.24,11,11,11,9,11
17.28,13,8,10,9,18
17.32,13,18,17,12,9
17.36,9,17,9,7,21
17.4,23,10,10,7,17
17.44,11,15,12,14,16
17.48,10,21,19,11,22
17.52,7,12,8,15,13
17.56,11,13,16,7,16
17.6,13,24,12,14,18
17.64,12,21,17,10,14
17.68,21,9,16,15,21
17.72,20,16,15,20,21
17.76,11,14,22,18,12
17.8,16,21,13,12,24
17.84,10,16,23,14,18
17.88,16,23,14,12,18
17.92,20,20,16,18,13
17.96,25,17,21,17,18
18,13,17,12,10,16
18.04,21,20,21,11,13
18.08,21,19,17,12,11
18.12,22,21,16,13,24
18.16,31,27,20,9,13
18.2,21,13,18,15,18
18.24,24,24,18,15,13
18.28,18,26,24,11,11
18.32,31,20,25,15,12
18.36,20,36,28,11,16
18.4,18,36,14,12,16
18.44,20,16,13,10,16
18.48,29,20,13,15,14
18.52,32,27,20,8,14
18.56,32,30,18,10,15
18.6,34,27,19,16,14
18.64,33,26,20,5,10
18.68,24,25,11,9,14
18.72,21,26,18,14,10
18.76,25,36,23,10,12
18.8,18,32,23,13,15
18.84,26,35,21,11,12
18.88,23,30,17,10,15
18.92,13,23,27,15,15
18.96,19,14,20,9,10
19,16,18,15,11,13
19.04,13,14,26,6,15
19.08,16,32,13,10,19
19.12,17,21,24,8,15
19.16,14,15,14,7,14
19.2,11,16,14,7,16
19.24,12,20,13,13,13
19.28,17,18,12,11,13
19.32,8,17,17,12,17
19.36,20,12,18,15,15
19.4,12,13,12,12,14
19.44,14,13,14,8,23
19.48,14,10,13,10,24
19.52,12,16,17,17,16
19.56,16,21,10,8,12
19.6,17,14,14,14,14
19.64,20,18,12,18,15
19.68,11,14,17,9,17
19.72,18,22,10,17,23
19.76,19,19,11,16,19
19.8,18,25,15,17,12
19.84,13,21,17,14,20
19.88,17,14,13,14,19
19.92,21,17,17,11,9
19.96,21,14,12,11,18
20,16,22,20,18,15
20.04,12,22,17,12,18
20.08,19,27,20,14,16
20.12,14,24,16,17,15
20.16,23,22,22,11,18
20.2,18,18,23,13,10
20.24,23,16,16,18,16
20.28,20,26,17,12,15
20.32,17,23,14,17,11
20.36,21,13,15,11,13
20.4,20,9,12,18,11
20.44,28,20,8,6,15
20.48,21,21,15,17,13
20.52,24,15,15,12,15
20.56,13,21,18,11,24
20.6,18,12,12,12,23
20.64,15,12,15,11,22
20.68,23,16,18,20,29
20.72,18,29,14,12,25
20.76,14,19,30,22,34
20.8,32,30,23,23,31
20.84,23,31,18,21,24
20.88,29,29,25,22,29
20.92,21,26,26,29,19
20.96,30,21,23,28,29
21,35,28,21,17,20
21.04,25,32,20,16,17
21.08,18,30,26,23,21
21.12,19,25,14,15,13
21.16,19,26,20,15,17
21.2,20,21,10,15,19
21.24,26,23,21,14,16
21.28,18,23,11,15,20
21.32,16,22,16,12,15
21.36,13,24,13,16,15
21.4,18,23,19,13,20
21.44,16,22,19,19,21
21.48,29,25,17,19,16
21.52,14,22,12,13,22
21.56,11,21,13,14,13
21.6,20,23,20,8,13
21.64,21,24,15,13,16
21.68,19,19,21,16,13
21.72,20,22,14,14,16
21.76,12,14,18,13,27
21.8,18,27,15,15,25
21.84,22,23,16,19,27
21.88,24,17,16,18,18
21.92,29,22,18,14,21
21.96,18,33,28,14,18
22,26,29,23,20,19
22.04,26,27,23,20,19
22.08,27,26,27,22,23
22.12,26,32,21,20,17
22.16,15,23,16,27,16
22.2,15,24,21,17,23
22.24,23,19,19,10,18
22.28,23,25,22,23,20
22.32,21,23,21,15,21
22.36,18,31,14,24,16
22.4,19,22,18,18,16
22.44,17,23,21,8,26
22.48,19,16,22,16,20
22.52,21,31,18,15,13
22.56,19,31,24,21,20
22.6,19,23,25,22,12
22.64,22,22,26,17,20
22.68,19,37,15,12,18
22.72,15,13,18,14,24
22.76,13,22,19,11,20
22.8,17,24,28,17,10
22.84,17,28,17,23,27
22.88,30,23,14,15,17
22.92,19,28,16,17,11
22.96,24,31,28,28,30
23,31,29,27,12,15
23.04,22,31,21,19,25
23.08,24,35,27,15,22
23.12,23,32,32,20,18
23.16,27,36,17,21,10
23.2,23,34,23,20,28
23.24,30,30,21,21,25
23.28,29,28,29,24,23
23.32,30,30,9,21,28
23.36,19,30,13,17,23
23.4,23,37,33,19,22
23.44,25,34,44,35,25
23.48,42,32,27,22,27
23.52,27,54,37,25,37
23.56,30,36,33,21,22
23.6,27,40,37,31,25
23.64,47,40,40,30,36
23.68,30,36,40,50,27
23.72,44,43,32,29,32
23.76,48,59,38,21,20
23.8,33,55,33,39,22
23.84,28,36,30,38,30
23.88,36,63,31,33,24
23.92,40,40,30,31,34
23.96,31,44,35,38,22
24,51,34,31,35,21
24.04,31,42,40,30,30
24.08,44,40,38,24,26
24.12,35,51,43,46,28
24.16,47,52,17,35,22
24.2,65,62,40,38,24
24.24,40,49,41,41,27
24.28,42,50,38,57,21
24.32,35,56,44,54,28
24.36,50,62,45,55,29
24.4,48,62,42,55,32
24.44,37,65,55,50,28
24.48,60,50,56,41,27
24.52,57,59,49,58,33
24.56,65,58,38,51,28
24.6,70,55,44,52,30
24.64,60,43,48,58,28
24.68,52,58,44,53,29
24.72,69,66,50,62,25
24.76,78,81,63,66,30
24.8,76,71,68,71,28
24.84,88,83,79,71,31
24.88,118,73,71,88,41
24.92,115,100,71,72,34
24.96,119,78,78,86,34
25,131,76,67,85,46
25.04,112,108,72,83,35
25.08,108,110,72,64,36
25.12,110,103,77,72,38
25.16,91,117,89,69,47
25.2,107,98,72,69,47
25.24,89,92,72,76,47
25.28,108,109,95,90,56
25.32,84,91,80,78,47
25.36,84,90,89,72,39
25.4,101,93,90,79,52
25.44,74,86,74,91,58
25.48,91,82,88,69,66
25.52,88,108,73,61,59
25.56,71,77,84,60,50
25.6,76,91,95,65,54
25.64,65,87,62,70,39
25.68,93,92,76,56,52
25.72,83,80,84,70,53
25.76,83,72,82,71,52
25.8,79,75,89,81,61
25.84,65,87,81,87,59
25.88,65,80,82,75,58
25.92,59,85,76,81,75
25.96,51,80,88,63,63
26,68,69,61,88,61
26.04,72,73,84,75,69
26.08,85,94,72,99,81
26.12,79,90,81,88,62
26.16,75,76,101,72,81
26.2,69,62,87,77,89
26.24,71,74,86,90,102
26.28,86,69,95,96,109
26.32,85,93,95,107,133
26.36,67,80,101,105,146
26.4,100,76,97,123,166
26.44,79,70,85,139,175
26.48,79,75,115,138,200
26.52,87,84,95,156,220
26.56,95,94,104,167,257
26.6,110,106,105,166,252
26.64,115,120,135,173,258
26.68,115,80,149,154,195
26.72,102,127,117,168,229
26.76,130,94,116,159,221
26.8,87,77,96,147,178
26.84,68,67,88,100,157
26.88,63,38,77,107,136
26.92,71,41,72,87,105
26.96,59,44,55,73,122
27,51,43,42,80,101
27.04,52,42,48,68,105
27.08,37,52,60,59,85
27.12,49,42,42,57,88
27.16,36,22,56,54,64
27.2,54,31,41,58,71
27.24,36,45,42,46,68
27.28,37,27,32,39,75
27.32,29,27,36,42,61
27.36,34,35,35,51,66
27.4,31,33,30,34,64
27.44,36,39,36,33,77
27.48,35,33,31,43,60
27.52,35,44,45,47,51
27.56,51,58,55,43,55
27.6,50,50,42,53,51
27.64,33,49,41,39,58
27.68,37,33,49,38,49
27.72,40,39,50,36,47
27.76,36,30,28,45,52
27.8,44,31,44,36,51
27.84,31,54,56,44,67
27.88,42,38,41,51,58
27.92,53,40,44,46,63
27.96,32,51,48,53,58
28,52,53,47,49,42
28.04,53,34,30,48,33
28.08,45,42,38,33,38
28.12,43,25,64,47,34
28.16,39,40,36,39,36
28.2,23,31,34,33,40
28.24,25,33,30,26,30
28.28,24,36,34,26,31
28.32,27,28,37,26,23
28.36,30,19,35,24,25
28.4,30,26,28,27,35
28.44,38,34,39,35,40
28.48,30,36,33,25,32
28.52,35,37,36,40,35
28.56,34,28,33,22,26
28.6,24,28,22,27,34
28.64,17,27,23,33,27
28.68,10,20,19,26,23
28.72,28,15,18,27,28
28.76,19,24,28,17,36
28.8,22,27,17,21,21
28.84,21,21,16,20,25
28.88,23,20,21,18,19
28.92,23,23,22,16,22
28.96,23,14,22,16,27
29,17,18,19,21,24
29.04,20,21,17,13,19
29.08,23,16,21,18,17
29.12,20,26,21,17,22
29.16,18,16,16,23,24
29.2,23,28,14,15,25
29.24,23,16,15,14,16
29.28,17,24,15,15,22
29.32,13,16,23,19,17
29.36,11,21,18,25,13
29.4,13,16,11,11,17
29.44,21,17,17,20,27
29.48,20,16,15,8,20
29.52,18,30,19,29,14
29.56,16,17,17,19,17
29.6,13,15,17,24,21
29.64,20,21,15,12,18
29.68,26,23,13,10,23
29.72,24,14,21,10,25
29.76,30,29,19,23,23
29.8,19,26,22,8,16
29.84,22,26,20,11,23
29.88,33,27,24,21,26
29.92,21,25,15,31,9
29.96,25,27,26,17,21
30,16,19,16,12,22
