10.76,77,41,27,15,16
10.80,68,56,28,19,11
10.84,68,43,34,31,10
10.88,73,41,32,27,12
10.92,84,49,25,28,13
10.96,70,45,30,17,15
11.00,73,47,26,29,13
11.04,73,30,38,28,9
11.08,69,57,40,35,17
11.12,57,52,34,28,12
11.16,73,36,38,21,17
11.20,79,41,44,24,12
11.24,71,63,52,27,16
11.28,72,57,22,22,13
11.32,84,50,34,27,14
11.36,83,53,36,38,13
11.40,71,68,34,29,10
11.44,83,45,38,28,10
11.48,77,53,31,37,5
11.52,77,54,45,42,17
11.56,62,51,41,22,9
11.60,80,59,36,29,6
11.64,76,53,36,27,16
11.68,70,53,35,36,11
11.72,73,68,27,27,20
11.76,85,60,41,40,10
11.80,75,58,38,43,11
11.84,80,54,37,36,11
11.88,77,58,48,40,12
11.92,70,62,41,24,9
11.96,90,55,42,27,11
12.00,67,59,36,48,7
12.04,69,56,35,33,8
12.08,67,53,34,37,12
12.12,77,55,39,48,14
12.16,85,60,36,30,8
12.20,69,54,36,33,8
12.24,90,69,29,35,13
12.28,67,57,38,41,14
12.32,56,63,20,29,17
12.36,61,54,32,33,4
12.40,67,53,25,28,10
12.44,64,66,31,26,9
12.48,59,60,23,25,7
12.52,51,52,21,23,12
12.56,46,50,27,30,10
12.60,49,42,26,28,10
12.64,50,35,24,21,9
12.68,40,53,25,25,16
12.72,46,42,29,37,15
12.76,34,34,26,27,14
12.80,29,42,12,23,11
12.84,38,29,20,19,14
12.88,32,28,20,21,14
12.92,25,27,24,17,5
12.96,34,29,20,13,10
13.00,40,28,18,22,9
13.04,29,24,21,13,8
13.08,32,25,17,19,13
13.12,22,24,20,21,16
13.16,28,27,15,20,19
13.20,22,17,23,18,13
13.24,22,18,18,12,13
13.28,23,23,14,14,5
13.32,15,38,10,8,9
13.36,19,19,9,21,9
13.40,17,31,13,14,11
13.44,21,21,16,18,6
13.48,21,23,13,14,14
13.52,18,17,18,12,11
13.56,16,22,21,16,16
13.60,14,20,18,8,7
13.64,11,10,14,21,15
13.68,16,18,27,14,8
13.72,20,23,19,27,14
13.76,15,19,14,15,10
13.80,12,22,11,17,16
13.84,16,21,17,16,12
13.88,14,23,17,15,16
13.92,13,21,17,16,14
13.96,7,15,18,18,12
14.00,20,15,12,18,11
14.04,14,14,15,6,12
14.08,17,15,11,18,11
14.12,11,15,12,14,8
14.16,18,20,12,13,11
14.20,14,15,14,14,8
14.24,17,23,18,7,7
14.28,17,19,14,15,10
14.32,9,7,11,8,12
14.36,15,23,13,10,12
14.40,17,18,7,18,12
14.44,12,18,22,17,14
14.48,20,24,14,10,14
14.52,17,16,17,19,13
14.56,13,18,11,13,14
14.60,13,17,16,16,12
14.64,13,20,13,17,13
14.68,6,15,16,13,14
14.72,15,8,14,15,22
14.76,7,20,16,14,11
14.80,18,18,14,11,12
14.84,14,13,12,13,12
14.88,12,15,13,18,19
14.92,18,16,17,8,13
14.96,15,10,12,12,14
15.00,12,13,16,14,9
15.04,11,21,20,13,12
15.08,13,23,15,11,16
15.12,8,15,22,12,8
15.16,16,12,11,18,9
15.20,10,15,13,13,11
15.24,5,8,14,14,20
15.28,9,14,12,17,21
15.32,7,14,15,12,11
15.36,9,14,15,15,11
15.40,11,12,22,9,15
15.44,15,17,15,12,11
15.48,19,11,10,10,20
15.52,16,19,11,16,13
15.56,14,7,15,22,9
15.60,9,15,12,15,11
15.64,8,12,15,14,15
15.68,12,14,15,10,14
15.72,8,19,12,14,17
15.76,16,14,12,16,14
15.80,18,7,23,7,13
15.84,4,8,16,13,16
15.88,10,22,13,15,20
15.92,20,10,23,17,12
15.96,15,12,19,20,13
16.00,12,13,14,12,19
16.04,13,12,14,13,12
16.08,17,10,17,12,12
16.12,12,14,16,11,13
16.16,16,14,11,16,12
16.20,10,11,22,18,13
16.24,16,11,18,15,12
16.28,9,9,13,18,11
16.32,17,15,18,12,9
16.36,9,19,13,10,15
16.40,19,17,18,16,21
16.44,8,10,7,19,12
16.48,15,17,12,16,20
16.52,9,10,22,21,19
16.56,10,20,13,13,16
16.60,14,17,21,17,14
16.64,18,14,28,21,12
16.68,13,14,10,10,12
16.72,21,11,10,16,18
16.76,17,13,16,19,25
16.80,6,9,24,21,18
16.84,13,18,16,14,21
16.88,4,11,22,16,18
16.92,13,8,15,16,11
16.96,12,13,18,16,15
17.00,10,13,20,18,22
17.04,15,15,12,14,18
17.08,14,12,26,12,18
17.12,16,19,22,16,19
17.16,12,8,14,23,10
17.20,14,9,26,13,21
17.24,13,22,18,17,20
17.28,21,16,21,20,14
17.32,20,14,16,11,14
17.36,15,11,22,29,21
17.40,11,17,13,12,22
17.44,20,15,27,15,15
17.48,22,16,21,17,17
17.52,21,16,14,29,18
17.56,26,20,23,19,20
17.60,29,9,18,27,17
17.64,13,13,21,21,20
17.68,28,18,23,20,18
17.72,23,24,29,21,17
